museumId,museumName,collectionName,description,imageUrl,isUserAdded,addedAt,addedAtISO
forbidden-city,故宫博物院,金瓯永固杯,,https://upload.wikimedia.org/wikipedia/commons/d/de/%E9%87%91%E7%93%AF%E6%B0%B8%E5%9B%BA%E6%9D%AF_%E6%95%85%E5%AE%AB%E7%8F%8D%E5%AE%9D%E9%A6%86.jpg,,,
forbidden-city,故宫博物院,平复帖,清代康熙年间制造的精美青花瓷器，反映了当时的工艺水平,https://upload.wikimedia.org/wikipedia/commons/2/21/%E5%B9%B3%E5%A4%8D%E5%B8%96.png,,,
forbidden-city,故宫博物院,酗亚方尊,,"https://img0.baidu.com/it/u=1834609498,822529276&fm=253&fmt=auto&app=138?f=JPEG?w=504&h=500",,,
national-museum,中国国家博物馆,后母戊鼎,商代晚期青铜器，中国古代最著名的器物之一,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Simuwu_ding.jpg/640px-Simuwu_ding.jpg,,,
national-museum,中国国家博物馆,人头壶,新石器时代彩陶，距今约7000年,https://upload.wikimedia.org/wikipedia/commons/7/7b/Pot_with_human_faces%2C_Yangshao_culture.jpg,,,
national-museum,中国国家博物馆,唐三彩马,唐代陶制骏马，彩釉工艺完美,https://upload.wikimedia.org/wikipedia/commons/a/a3/Tang_Dynasty_tomb_pottery_3_color_horse.jpg,,,
shanghai-museum,上海博物馆,大克鼎,西周晚期青铜鼎，内壁铸有290字铭文，与大盂鼎、毛公鼎并称海内青铜器三宝,https://upload.wikimedia.org/wikipedia/commons/7/70/Da_Ke_ding.jpg,,,
shanghai-museum,上海博物馆,晋侯稣编钟,西周青铜乐器，全套16件，铭文记载晋侯稣随周厉王征伐东夷的战功,https://upload.wikimedia.org/wikipedia/commons/7/77/Bells_of_Marquis_Su_of_Jin.jpg,,,
shanghai-museum,上海博物馆,高逸图,唐末画家孙位唯一存世真迹，描绘竹林七贤中四贤，卷首有宋徽宗御题,https://upload.wikimedia.org/wikipedia/commons/b/b2/%E5%AD%99%E4%BD%8D_%E9%AB%98%E9%80%B8%E5%9B%BE%E5%8D%B7.jpg,,,
beijing-capital-museum,首都博物馆,凤首扁壶,用户添加的镇馆之宝,https://upload.wikimedia.org/wikipedia/commons/6/65/%E6%99%AF%E5%BE%B7%E9%95%87%E7%AA%91%E9%9D%92%E8%8A%B1%E5%87%A4%E9%A6%96%E6%89%81%E5%A3%B609124.jpg,true,1768453079589,2026-01-15T04:57:59.589Z
beijing-capital-museum,首都博物馆,水月观音,用户添加的镇馆之宝,https://upload.wikimedia.org/wikipedia/commons/9/98/%E6%99%AF%E5%BE%B7%E9%95%87%E7%AA%91%E9%9D%92%E7%99%BD%E9%87%89%E6%B0%B4%E6%9C%88%E8%A7%82%E9%9F%B3%E8%8F%A9%E8%90%A8%E5%83%8F08858.jpg,true,1768453133403,2026-01-15T04:58:53.403Z
beijing-capital-museum,首都博物馆,魏太和造像,用户添加的镇馆之宝,https://upload.wikimedia.org/wikipedia/commons/c/c4/Northern_Wei_Buddha_Statue.jpg,true,1768453192152,2026-01-15T04:59:52.152Z
china-military-museum,中国人民革命军事博物馆,朱德手枪,用户添加的镇馆之宝,"https://img2.baidu.com/it/u=3778476096,2388449125&fm=253&fmt=auto&app=138?f=JPEG?w=809&h=500",true,1768401473775,2026-01-14T14:37:53.775Z
china-military-museum,中国人民革命军事博物馆,功臣号坦克,用户添加的镇馆之宝,"https://img0.baidu.com/it/u=3192961185,2370115502&fm=253&fmt=auto&app=138?f=JPEG?w=667&h=500",true,1768401577953,2026-01-14T14:39:37.953Z
china-military-museum,中国人民革命军事博物馆,东风一号,用户添加的镇馆之宝,https://upload.wikimedia.org/wikipedia/commons/1/11/Dongfeng_1_Missile.jpg,true,1768401681307,2026-01-14T14:41:21.307Z
beijing-natural-history-museum,国家自然博物馆,井研马门溪龙化石,,"https://img2.baidu.com/it/u=3941138217,418694675&fm=253&fmt=auto&app=120?f=JPEG?w=800&h=1200",,,
